"label","pred"
1,0.513802860071883
0,0.427826877171174
1,0.910588911455125
0,0.564803679124452
1,0.73366497263778
1,0.450565703585744
0,0.0989578536478802
0,0.68393872436136
0,0.559341443981975
1,0.628095988323912
0,0.380473475297913
1,0.635490635037422
1,0.862345512048341
1,0.787141292123124
0,0.0593724394449964
0,0.123979492997751
0,0.550792019907385
0,0.46072286979761
0,0.158571401820518
1,0.424898677249439
0,0.533963625947945
1,0.411910405289382
1,0.778395517286845
1,0.575995212071575
1,0.560818373691291
1,0.790021074609831
0,0.375340382172726
0,0.679633492906578
0,0.632907294179313
1,0.537594353570603
0,0.413883313396946
0,0.0314011606620625
1,0.698720983462408
0,0.272253472195007
1,0.307563059683889
0,0.483164267498068
0,0.28750590919517
0,0.583900432125665
0,0.515869050938636
0,0.384585693362169
1,0.817659850860946
1,0.613694268045947
1,0.593492052610964
0,0.243459813459776
0,0.61673735359218
0,0.629649474425241
1,0.716428020852618
1,0.895025146962144
1,0.956821980141103
0,0.134206158365123
0,0.00865394326392561
1,0.813476523174904
0,0.272395489178598
0,0.561682655895129
0,0.62790098823607
1,0.377150993747637
0,0.517138157994486
1,0.883397416607477
0,0.516189902904443
1,0.689860312407836
1,0.909731080266647
1,0.734693256020546
0,0.443470138311386
1,0.3776063577272
1,0.567783356644213
0,0.00526564854662865
1,0.787929632421583
0,0.151240246649832
0,0.478326535713859
0,0.445997523935512
0,0.0698062534211203
0,0.0385126326465979
0,0.351495859888382
1,0.3042166932486
1,0.439230083092116
0,0.274248148384504
1,0.798404346592724
0,0.481636677891947
0,0.00852471885737032
0,0.33541157306172
0,0.372038428834639
1,0.378647620300762
1,0.935932879545726
0,0.490125316893682
1,0.445649665896781
0,0.276197886839509
0,0.0224165444960818
1,0.54322103227023
1,0.603522047447041
0,0.48949102323968
1,0.56910641642753
1,0.391757114115171
1,0.431335296179168
0,0.51248805616051
0,0.0353423241525888
1,0.668162435106933
1,0.675785243301652
0,0.195599038107321
1,0.539052145881578
1,0.648181399679743
